
========================================================================
Trial: bs64_lr3em04_adamw
========================================================================
GPU: NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition
Train: 440,286, Dev: 1,166
Epoch 03 | 05600/06880 | loss 4.1979 | ppl 66.55 | lr 0.0001363636 | 189.1s
Epoch 03 | 05700/06880 | loss 4.1966 | ppl 66.46 | lr 0.0001360128 | 192.4s
Epoch 03 | 05800/06880 | loss 4.1949 | ppl 66.35 | lr 0.0001356647 | 195.8s
Epoch 03 | 05900/06880 | loss 4.1933 | ppl 66.24 | lr 0.0001353192 | 199.1s
Epoch 03 | 06000/06880 | loss 4.1921 | ppl 66.16 | lr 0.0001349764 | 202.5s
Epoch 03 | 06100/06880 | loss 4.1908 | ppl 66.07 | lr 0.0001346361 | 206.0s
Epoch 03 | 06200/06880 | loss 4.1895 | ppl 65.99 | lr 0.0001342984 | 209.3s
Epoch 03 | 06300/06880 | loss 4.1883 | ppl 65.91 | lr 0.0001339633 | 212.8s
Epoch 03 | 06400/06880 | loss 4.1871 | ppl 65.83 | lr 0.0001336306 | 216.2s
Epoch 03 | 06500/06880 | loss 4.1854 | ppl 65.72 | lr 0.0001333004 | 219.8s
Epoch 03 | 06600/06880 | loss 4.1841 | ppl 65.63 | lr 0.0001329727 | 223.4s
Epoch 03 | 06700/06880 | loss 4.1828 | ppl 65.55 | lr 0.0001326473 | 227.0s
Epoch 03 | 06800/06880 | loss 4.1815 | ppl 65.46 | lr 0.0001323243 | 230.6s
Epoch 03 complete | train loss 4.1803 | dev loss 4.0543 | train BLEU 13.53 | dev BLEU 10.86 | 241.6s
Epoch 04 | 00100/06880 | loss 4.0251 | ppl 55.99 | lr 0.0001317489 | 3.3s
Epoch 04 | 00200/06880 | loss 4.0117 | ppl 55.24 | lr 0.0001314324 | 6.8s
Epoch 04 | 00300/06880 | loss 4.0077 | ppl 55.02 | lr 0.0001311182 | 10.1s
Epoch 04 | 00400/06880 | loss 4.0065 | ppl 54.95 | lr 0.0001308062 | 13.4s
Epoch 04 | 00500/06880 | loss 4.0075 | ppl 55.01 | lr 0.0001304965 | 16.7s
Epoch 04 | 00600/06880 | loss 4.0073 | ppl 55.00 | lr 0.0001301889 | 20.0s
Epoch 04 | 00700/06880 | loss 4.0049 | ppl 54.87 | lr 0.0001298835 | 23.5s
Epoch 04 | 00800/06880 | loss 4.0082 | ppl 55.05 | lr 0.0001295803 | 27.0s
Epoch 04 | 00900/06880 | loss 4.0065 | ppl 54.96 | lr 0.0001292791 | 30.4s
Epoch 04 | 01000/06880 | loss 4.0044 | ppl 54.84 | lr 0.0001289801 | 34.0s
Epoch 04 | 01100/06880 | loss 4.0037 | ppl 54.80 | lr 0.0001286831 | 37.6s
Epoch 04 | 01200/06880 | loss 4.0024 | ppl 54.73 | lr 0.0001283881 | 41.1s
Epoch 04 | 01300/06880 | loss 4.0018 | ppl 54.70 | lr 0.0001280952 | 44.4s
Epoch 04 | 01400/06880 | loss 4.0007 | ppl 54.64 | lr 0.0001278043 | 47.8s
Epoch 04 | 01500/06880 | loss 4.0014 | ppl 54.67 | lr 0.0001275153 | 51.2s
Epoch 04 | 01600/06880 | loss 3.9999 | ppl 54.59 | lr 0.0001272283 | 54.7s
Epoch 04 | 01700/06880 | loss 3.9987 | ppl 54.52 | lr 0.0001269433 | 58.3s
Epoch 04 | 01800/06880 | loss 3.9982 | ppl 54.50 | lr 0.0001266601 | 61.9s
Epoch 04 | 01900/06880 | loss 3.9965 | ppl 54.41 | lr 0.0001263788 | 65.5s
Epoch 04 | 02000/06880 | loss 3.9946 | ppl 54.30 | lr 0.0001260994 | 68.8s
Epoch 04 | 02100/06880 | loss 3.9936 | ppl 54.25 | lr 0.0001258218 | 72.1s
